SUBSPECIES	CATALOGNO	LAT	LON	Year	ppt_summer	tmin_summer	tmean_summer	tmax_summer	tdmean_summer	vpdmin_summer	vpdmax_summer	ppt_winter	tmin_winter	tmean_winter	tmax_winter	tdmean_winter	vpdmin_winter	vpdmax_winter
pacificus	13350	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	13351	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	13352	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	13353	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	13354	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	13355	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	13356	33.935	-118.415	1938	0.035	61.3	67.98	74.63	58.75	1.862	12.857	2.843	45.07	54.17	63.28	38.9	1.945	11.176
pacificus	16247	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	16248	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17613	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17614	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17615	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17617	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17618	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17619	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	17620	33.196	-117.379	1931	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	18705	33.196	-117.379	1936	0.107	60.79	67.85	74.87	58.97	1.496	12.228	2.587	39.46	51.38	63.32	37.93	0.941	11.74
pacificus	19214	32.557	-117.13	1932	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
bombycinus	4532	32.72	-114.804	1924	0.512	75.5	89.54	103.64	57.97	13.311	56.552	0.339	38.5	53.48	68.46	23.33	3.878	19.327
bombycinus	5691	32.722	-114.505	1926	0.563	75.83	89.96	104.11	58.7	13.172	57.199	0.337	39.64	53.87	68.09	23.06	4.268	19.059
internationalis	11922	32.612	-116.187	1936	1.014	56.48	73.42	90.39	46.99	5.337	37.931	2.236	31.84	44.63	57.45	24.16	1.927	11.708
internationalis	11923	32.612	-116.187	1936	1.014	56.48	73.42	90.39	46.99	5.337	37.931	2.236	31.84	44.63	57.45	24.16	1.927	11.708
internationalis	11924	32.612	-116.187	1936	1.014	56.48	73.42	90.39	46.99	5.337	37.931	2.236	31.84	44.63	57.45	24.16	1.927	11.708
panamintinus	9432	36.253	-117.231	1931	0.399	69.87	84.5	99.13	37.78	18.68	54.943	0.611	33.32	44.04	54.78	21.67	2.53	10.588
panamintinus	9433	36.253	-117.231	1931	0.399	69.87	84.5	99.13	37.78	18.68	54.943	0.611	33.32	44.04	54.78	21.67	2.53	10.588
panamintinus	9434	36.253	-117.231	1931	0.399	69.87	84.5	99.13	37.78	18.68	54.943	0.611	33.32	44.04	54.78	21.67	2.53	10.588
panamintinus	9442	36.366	-117.115	1931	0.485	62.96	76.52	90.12	35.6	12.862	40.91	0.851	27.86	39.31	50.74	14.69	2.258	9.581
panamintinus	9443	36.366	-117.115	1931	0.485	62.96	76.52	90.12	35.6	12.862	40.91	0.851	27.86	39.31	50.74	14.69	2.258	9.581
panamintinus	9444	36.366	-117.115	1931	0.485	62.96	76.52	90.12	35.6	12.862	40.91	0.851	27.86	39.31	50.74	14.69	2.258	9.581
pimensis	8551	33.597	-112.272	1930	1.319	74.46	89.73	105	57.43	13.649	58.756	0.756	33.85	49.92	66.01	25.99	2.152	16.528
pimensis	12558	32.88	-111.933	1937	1.494	73.83	88.73	103.6	56.34	13.616	56.569	0.793	32.26	48.4	64.59	24.02	2.007	16.186
virginis	12901	37.086	-113.558	1937	0.715	66.51	83.86	101.21	45.65	12.422	56.196	1.076	24.75	38.16	51.6	20.52	1.185	9.279
virginis	12902	37.086	-113.558	1937	0.715	66.51	83.86	101.21	45.65	12.422	56.196	1.076	24.75	38.16	51.6	20.52	1.185	9.279
virginis	12905	37.086	-113.558	1937	0.715	66.51	83.86	101.21	45.65	12.422	56.196	1.076	24.75	38.16	51.6	20.52	1.185	9.279
virginis	12906	37.086	-113.558	1937	0.715	66.51	83.86	101.21	45.65	12.422	56.196	1.076	24.75	38.16	51.6	20.52	1.185	9.279
virginis	12907	37.086	-113.558	1937	0.715	66.51	83.86	101.21	45.65	12.422	56.196	1.076	24.75	38.16	51.6	20.52	1.185	9.279
bangsi	184650	33.834	-116.266	1995	0.113076923076923	73.6307692307692	88.8307692307692	104.038461538462	51.6538461538462	13.8469230769231	58.8746153846154	0.979230769230769	41.5692307692308	54.2153846153846	66.8307692307692	32.5153846153846	2.51	15.9646153846154
bangsi	184651	33.907	-116.642	1995	0.06	72.4384615384615	88.1076923076923	103.753846153846	52.2769230769231	12.8723076923077	57.1946153846154	2.19923076923077	42.8769230769231	54.7230769230769	66.5384615384615	31.7846153846154	2.92923076923077	15.9376923076923
bangsi	184653	33.891	-116.682	1995	0.153846153846154	64.7538461538462	81.4384615384615	98.1153846153846	47.5384615384615	9.67230769230769	49.8223076923077	3.32307692307692	39.7923076923077	51.4384615384615	63.0615384615385	28.9	2.65076923076923	13.9830769230769
bangsi	195956	33.914	-116.767	1999	0.0915384615384615	67.2846153846154	83.5923076923077	99.9307692307692	50.7538461538462	9.48461538461538	50.5346153846154	3.30461538461538	40.6076923076923	53.0923076923077	65.5769230769231	29.7153846153846	2.64923076923077	15.7238461538462
bangsi	206786	33.917	-116.653	2004	0.08	71.6461538461539	87.2230769230769	102.8	52.3307692307692	12.1538461538462	55.0753846153846	2.69230769230769	42.5384615384615	54.5923076923077	66.6615384615385	31.2538461538462	2.93615384615385	16.1538461538462
brevinasus	182967	33.488	-117.076	1993	0.0261538461538462	60.4230769230769	77.1846153846154	93.9230769230769	54.8	2.95384615384615	37.3969230769231	3.76538461538462	40.6615384615385	53.4923076923077	66.3230769230769	34.9076923076923	1.66	14.8353846153846
brevinasus	182969	34.164	-117.503	1993	0.00307692307692308	62.9153846153846	77.4230769230769	91.9461538461538	52.5076923076923	5.77	37.05	6.33307692307692	43.7692307692308	52.6923076923077	61.6538461538462	33.0384615384615	2.92846153846154	12.0638461538462
longimembris	195191	34.765	-116.377	2000	0.333846153846154	70.9538461538462	86.5461538461538	102.146153846154	45.5	14.7476923076923	58.5092307692308	0.829230769230769	35	48.1384615384615	61.2923076923077	24.6076923076923	2.11769230769231	13.8753846153846
longimembris	195957	34.135	-116.337	1999	0.322307692307692	66.2076923076923	82.0307692307692	97.8692307692308	44.1307692307692	11.6461538461538	50.9	1.24307692307692	33.5692307692308	47.0692307692308	60.5923076923077	23.5307692307692	1.99307692307692	13.5738461538462
longimembris	238465	35.125	-115.43	2018	1.272	64.9	75.52	86.14	39.01	10.979	34.051	1.203	34.29	42.74	51.17	16.76	2.973	9.829
longimembris	239563	34.74	-119.088	2019	0.05	36.27	62.2	88.12	29.38	1.061	40.459	2.592	22.21	37.45	52.67	16.72	0.669	10.602
panamintinus	232679	36.387	-117.146	2016	0.212	64.52	78.11	91.7	33.22	13.377	44.181	1.128	33.63	43.01	52.42	16.07	2.991	10.173
panamintinus	232686	36.182	-116.62	2016	0.28	68.28	79.95	91.65	33.75	16.506	44.033	0.709	36.04	44.52	52.97	15.43	3.639	10.634
bangsi	184644	32.679	-115.881	1991	0.401538461538462	74.6615384615385	89.6384615384615	104.6	61.5692307692308	7.97461538461538	55.3576923076923	0.623846153846154	41.6538461538462	55.2307692307692	68.8461538461539	35.5923076923077	2.07769230769231	16.9192307692308
bangsi	195954	33.672	-115.806	1995	0.270769230769231	73.1769230769231	87.9692307692308	102.784615384615	50.5615384615385	14.13	57.5638461538462	0.842307692307692	39.8230769230769	52.2769230769231	64.7307692307692	29.8076923076923	2.63	14.8215384615385
brevinasus	182968	34.164	-117.503	1989	0.00307692307692308	62.9153846153846	77.4230769230769	91.9461538461538	52.5076923076923	5.77	37.05	6.33307692307692	43.7692307692308	52.6923076923077	61.6538461538462	33.0384615384615	2.92846153846154	12.0638461538462
brevinasus	184652	33.526	-116.436	1991	1.29230769230769	54.9769230769231	68.4692307692308	81.9692307692308	37.8846153846154	7.71	28.7669230769231	3.62230769230769	30.1692307692308	39.1615384615385	48.1692307692308	19.0538461538462	2.13846153846154	7.86538461538461
internationalis	182970	33.114	-116.511	1989	0.531538461538462	58.6846153846154	78.2153846153846	97.7538461538462	47.5384615384615	5.90923076923077	49.3292307692308	3.48461538461538	36.6923076923077	48.7538461538462	60.8076923076923	28.5538461538462	2.01307692307692	12.4930769230769
internationalis	182972	33.142	-116.598	1989	0.552307692307692	60.4461538461538	73.8923076923077	87.3692307692308	44.7461538461538	7.28384615384615	33.9746153846154	5.51153846153846	35.1153846153846	44.3769230769231	53.5846153846154	25.6230769230769	2.04076923076923	8.96923076923077
internationalis	182973	33.125	-116.606	1989	0.530769230769231	59.3384615384615	73.6615384615385	88	45.3846153846154	6.52076923076923	34.5607692307692	5.81307692307692	36.2461538461538	45.4692307692308	54.7	26.9076923076923	2.11538461538462	9.25923076923077
longimembris	195190	35.384	-115.895	1996	0.618461538461539	73.3384615384615	85.9923076923077	98.6153846153846	42.4615384615385	17.7346153846154	53.4253846153846	1.06230769230769	36.5153846153846	45.9	55.2692307692308	20.6615384615385	3.06615384615385	10.8338461538462
longimembris	219310	36.778	-118.267	2003	0.0861538461538462	63.2461538461538	78.2615384615385	93.2923076923077	34.5769230769231	13.1623076923077	46.0376923076923	1.39307692307692	31.1230769230769	41.3846153846154	51.6230769230769	16.1846153846154	2.47076923076923	9.64923076923077
longimembris	221991	35.426	-118.024	1999	0.159230769230769	65.1230769230769	80.0384615384615	94.9461538461538	39.5846153846154	11.8376923076923	47.63	1.88	35.5384615384615	44.4846153846154	53.4153846153846	22.8384615384615	2.47384615384615	9.43461538461538
longimembris	223677	36.476	-117.857	2005	0.119230769230769	59.5307692307692	78.9769230769231	98.4461538461538	39.2153846153846	9.25307692307692	53.7153846153846	0.883076923076923	27.2230769230769	41.6307692307692	56.0153846153846	21.3076923076923	1.25769230769231	11.22
